Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
Retries from many clients arrive simultaneously after a brief outage. What does the design need?,multiple-choice,"A queue, and so the retries are absorbed rather than reaching the dependency.",,"A cap on retries, so each client eventually stops attempting the call.",,"Randomized backoff, so the retries do not synchronize into a second surge.",,"A longer fixed backoff, so the dependency has more time to recover.",,,,,,3,"Uniform backoff makes every client retry at the same moment, which is how a recovering dependency is knocked over again. Jitter spreads them. A longer fixed delay moves the surge rather than dispersing it, and caps and queues address volume without addressing the synchronization.",D3 Integration
One slow dependency is consuming all of the assistant's request-handling capacity. What pattern addresses it?,multiple-choice,"More capacity, so the slow dependency's calls do not exhaust the pool.",,"A circuit breaker, and so calls stop once its failure rate crosses a threshold.",,"Isolating each dependency's capacity, so one cannot exhaust the whole pool.",,"A shorter timeout on that dependency, so calls to it are abandoned sooner.",,,,,,3,"Partitioning resources per dependency means a slow one degrades only what depends on it, which is what keeps unrelated requests working. Timeouts and breakers are valuable complements that act after calls are already occupying the shared pool, and added capacity is consumed the same way.",D3 Integration
Event schemas are agreed informally between teams and consumers keep breaking. What is needed?,multiple-choice,A version number on each event so consumers can detect a change.,,A registry holding the schemas with compatibility rules enforced.,,A staging environment where consumers can test against new schemas.,,A notification process so consumers are told before changes are made.,,,,,,2,"A registry makes the contract explicit and mechanically checks that a proposed change cannot break existing consumers, which is what turns compatibility from a convention into a guarantee. Notification, versioning and staging all help consumers cope with changes that have already been made.",D3 Integration
The embedding model behind a retrieval system is being upgraded. What does that require?,multiple-choice,"Reconfiguring the similarity threshold, since scores will be distributed differently.",,"Repartitioning the index, since the new vectors may differ in dimensionality.",,"Reindexing the corpus, since vectors from two models are not comparable.",,"Reevaluating retrieval quality, since results will differ after the change.",,,,,,3,"Vectors are only meaningful within the model that produced them, so a mixed index returns nonsense until every document is reprocessed. That makes reindexing a precondition rather than a follow-up. Reevaluation and threshold tuning are necessary afterwards, and dimensionality is one reason the mixture fails.",D3 Integration
Chunks are stored with their text and nothing else. What does adding metadata enable?,multiple-choice,"Smaller storage, since metadata allows duplicate chunks to be removed.",,"Filtering and attribution, so retrieval can be scoped and results traced.",,"Better ranking, since metadata contributes to the similarity calculation.",,"Faster retrieval, since in fact metadata narrows the space that must be searched.",,,,,,2,"Source, date, section and access classification are what let retrieval respect entitlements, prefer current material and cite where an answer came from. Speed can follow from filtering and is a consequence, and metadata does not by itself deduplicate or participate in similarity scoring.",D3 Integration
A user's access to a document is revoked in the source system. What must happen in the retrieval layer?,multiple-choice,The change must take effect there within a defined and short period.,,The user's previous queries must be reviewed for exposure of it.,,The document must be reindexed so its classification is updated.,,The document must always be removed from the index that was built from it.,,,,,,1,"An assistant that enforces yesterday's permissions is an access control failure with a delay attached, so how quickly a revocation propagates is a stated property of the design. Removing the document affects everyone rather than the one user, and retrospective review is a response to exposure rather than a control.",D3 Integration
An ingestion pipeline silently skips documents it cannot parse. What is the consequence?,multiple-choice,The pipeline's throughput is lower than the volume of documents suggests.,,The index becomes inconsistent with the source system over time.,,The parsing failures accumulate without anyone investigating them.,,The assistant answers confidently from a corpus with unknown gaps.,,,,,,4,"A silent skip produces a system that behaves normally while missing material nobody knows is absent, and the resulting not-found answers look like the corpus genuinely lacking the information. Surfacing and counting failures is what makes the gap visible. Throughput and drift are consequences of the same silence.",D3 Integration
A team wants to know whether retrieval is performing well in production. What should be measured?,multiple-choice,How quickly the retrieval stage completes relative to the whole request.,,"Whether the material needed was retrieved, on a sampled set of real queries.",,How many documents are returned on average by each query issued.,,How often the assistant reports that it could not find an answer.,,,,,,2,"Retrieval quality is whether the right material reached the prompt, which requires judging a sample of real queries against what should have been found. Result counts and latency describe the mechanism, and not-found rates conflate retrieval failures with questions the corpus genuinely does not answer.",D3 Integration
Credentials used between the assistant and its dependencies have never been rotated. What is the design gap?,multiple-choice,The credentials may have been exposed during the period they then were in use.,,The credentials may carry more access than the services actually require.,,The credentials cannot be attributed to the service that is using them.,,"Rotation was not designed in, so doing it now requires coordinated change.",,,,,,4,"Rotation is only routine if the system was built to accept it, and a design where changing a credential means a coordinated outage is one where rotation never happens. Exposure, attribution and excess privilege are separate weaknesses that a rotation capability does not by itself address.",D3 Integration
Integration logs capture full request and response payloads. What is the concern?,multiple-choice,The logs may not be retained long enough for an investigation to use them.,,The logs grow large enough that searching them becomes slow and expensive.,,The logs contain data in a format that is difficult to analyze later.,,"The logs now hold whatever data the integration carries, under their own controls.",,,,,,4,"Logging payloads copies regulated or confidential material into a system with different retention, access and export characteristics than the one it came from, which is a decision requiring redaction and controls rather than a default. Volume, retention and format are operational concerns of a lower order.",D3 Integration
Data must be encrypted at rest in the assistant's stores. What does that leave unaddressed?,multiple-choice,"Access by anything holding a valid credential, which is the usual route.",,Interception of the data while it is genuinely moving between the services.,,Retention of the data beyond the period the policy permits.,,Replication of the data to a location the policy does not permit.,,,,,,1,"Encryption at rest protects against physical and storage-layer compromise and does nothing about a caller with legitimate credentials, which is how data is actually accessed. Treating it as the control makes authorization look already handled. Transit, retention and residency are separate obligations.",D3 Integration
An assistant must call a system that is available only during business hours. What does the design need?,multiple-choice,"A cache of that system's data, refreshed while the system is available.",,An out-of-hours behaviour chosen deliberately and stated in the design.,,A schedule confining the assistant's use to the hours the system is up.,,A queue holding the requests until the system next becomes available.,,,,,,2,"A dependency with a known availability window makes the out-of-hours case an ordinary state to design for rather than an error to discover. Queueing, serving cached data and declining clearly are all defensible answers, and what matters is that one was chosen. Confining the assistant's own availability gives up the times it could still be useful.",D3 Integration
A multi-turn assistant is being evaluated one turn at a time. What does that miss?,multiple-choice,Whether the turns are consistent in tone with one another.,,Whether the conversation as a whole reaches a correct outcome.,,Whether the assistant handles unusual inputs on any given turn.,,Whether each turn is produced within the latency the design requires.,,,,,,2,"Conversations fail across turns: context lost, a constraint forgotten, an earlier commitment contradicted. Per-turn grading can pass every turn while the interaction goes nowhere useful. Latency, tone and edge cases are all measurable per turn and are not what turn-level evaluation structurally cannot see.","D4 Evaluation, Testing & Optimization"
An agentic system is evaluated only on whether its final output is correct. What can that conceal?,multiple-choice,Steps that were wrong but did not happen to change the outcome.,,Runs that took rather more iterations than the design anticipated.,,Runs whose cost exceeded what the design budgeted for them.,,Steps whose latency contributed most to the total duration.,,,,,,1,"A correct outcome can survive a broken step through luck or a later step's robustness, and the design fails as soon as conditions shift. Evaluating steps alongside outcomes surfaces it. Iteration counts, cost and latency are all measurable at the run level without step evaluation.","D4 Evaluation, Testing & Optimization"
An evaluation suite has grown until running it is slow and expensive. What is the sound response?,multiple-choice,"Parallelize it, so the full suite completes in less elapsed time.",,"Sample it, running a random subset on each of the occasions it is genuinely used.",,"Tier it, running a fast subset often and the full suite at defined points.",,"Reduce it, removing the cases that have not failed in recent runs.",,,,,,3,"Tiering preserves the full suite's coverage while making the common case fast, which is what keeps it usable without discarding protection. Removing long-passing cases deletes exactly the regression protection they exist to provide, and random sampling gives an inconsistent signal between runs.","D4 Evaluation, Testing & Optimization"
"A team wants to measure whether the assistant asks, escalates or guesses when it lacks information. What does the evaluation set need?",multiple-choice,Cases where the information is present but hard to locate.,,Cases where the information is ambiguous between two readings.,,Cases where the information genuinely is not available.,,Cases where the information is present in a contradictory form.,,,,,,3,"Testing the not-known behaviour requires inputs where the answer is genuinely absent, since anything else tests retrieval or disambiguation instead. Those cases are the ones curated sets least often contain, which is why guessing goes undetected. Ambiguity and contradiction are their own valuable categories.","D4 Evaluation, Testing & Optimization"
Production outputs are sampled for human review and the reviewers see a random selection. What would improve the return on that budget?,multiple-choice,Reviewing the outputs that took longest for the system to produce.,,"Increasing the sample size, so more of the output is reviewed.",,Weighting the sample toward the cases where an error costs most.,,"Reviewing the most recent outputs, which reflect the current system.",,,,,,3,"A limited review budget should go where an undetected error is most consequential, with a random component retained so nothing systematic hides in what was assumed safe. Volume, recency and processing time are all proxies that a well-placed error will sit outside of.","D4 Evaluation, Testing & Optimization"
An evaluation suite is maintained by one engineer and only that engineer can run it. What is the risk?,multiple-choice,The suite reflects only that one person's view of what the system should do.,,The suite stops being run the moment that person is unavailable.,,The suite grows over time in ways that other engineers cannot readily follow.,,The suite's results are never challenged by anyone else who understands them.,,,,,,2,"A quality gate that depends on one person is a gate that opens whenever they are on leave, because the alternative is halting releases. Making the suite runnable by anyone, ideally automatically, is what turns it into a control. Single authorship and unchallenged results are real weaknesses of a lower order than the suite simply not running.","D4 Evaluation, Testing & Optimization"
The same evaluation is run against two model versions and one scores higher. What must be checked before concluding it is better?,multiple-choice,That the more capable version did not simply cost more to run.,,That the difference exceeds what the sample size can resolve.,,"That the prompts were adapted equally, not tuned for one of them.",,That the two runs used identical sampling settings throughout.,,,,,,3,"Comparing a version against a prompt tuned over months for its predecessor measures the tuning as much as the model, which is why like-for-like requires comparable prompt effort on both. Settings parity and statistical resolution are also required, and cost is a separate axis of the decision.","D4 Evaluation, Testing & Optimization"
Quality has reached a level the team considers acceptable. What should determine whether to keep improving?,multiple-choice,Whether further improvement is worth more than what it would cost.,,Whether users have stopped reporting problems with the outputs.,,Whether the measured quality exceeds what competitors are achieving.,,Whether further improvement is technically achievable by the team.,,,,,,1,"Optimization has diminishing returns and an opportunity cost, so continuing is a decision about value rather than about possibility. Something is always technically achievable. Competitive comparison and the absence of complaints are weak evidence about where the next unit of effort belongs.","D4 Evaluation, Testing & Optimization"
Running the evaluation suite costs a material amount each time. How should that be treated?,multiple-choice,"As a development cost, excluded from the system's running cost.",,As overhead to be minimized wherever the suite can be reduced.,,"As a cost of the system, weighed against what it prevents.",,"As a fixed cost, since the suite runs on a regular schedule.",,,,,,3,"Evaluation is part of what the system costs to operate safely, and treating it as an accounting inconvenience is how suites get cut to the point of not protecting anything. Weighing it against the incidents it prevents keeps the decision honest, and its cost is neither fixed nor separable from the system.","D4 Evaluation, Testing & Optimization"
A defect reaches production that the evaluation suite did not catch. What should follow?,multiple-choice,"An increase in the suite's size, so future coverage is broader.",,A review of why the suite's coverage was insufficient in that area.,,"A change to the release process, so more testing occurs before release.",,"A case covering it added to the suite, before or alongside the fix.",,,,,,4,"Converting each escaped defect into a permanent case is what makes the suite grow toward the failures that actually occur, rather than the ones someone imagined. It is also the cheapest moment to do it. Coverage review and process change are worthwhile and slower, and size alone is not the property that matters.","D4 Evaluation, Testing & Optimization"
An assistant receives a request it should not fulfil. What distinguishes a well-designed refusal?,multiple-choice,"It produces a partial answer, so the interaction is not entirely unhelpful.",,"It escalates the request, so a person decides whether to fulfil it.",,It declines clearly and points to the route the person can take instead.,,"It declines without explanation, so the boundary cannot be probed further.",,,,,,3,"A refusal that leaves someone with a legitimate need stranded pushes them toward workarounds, so naming the alternative is part of the design. Silent refusals frustrate without protecting anything, partial answers undercut the boundary, and escalating every declined request routes ordinary refusals to people unnecessarily.","D5 Governance, Safety & Risk Management"
An assistant may be used by people who are unable to judge its limitations. What does that change about the design?,multiple-choice,The threshold for what the system may do unaided rises accordingly.,,The system must disclose that its outputs are generated by a model.,,The system's outputs must be written in simpler language for them.,,The system must verify each user's competence before they use it.,,,,,,1,"Where users cannot be relied on to catch an error, the system carries more of the responsibility, which means narrower scope, stronger checks and more conservative behaviour. Plain language and disclosure are worthwhile and do not transfer judgment to someone unable to exercise it, and gating on competence is rarely practical.","D5 Governance, Safety & Risk Management"
Outputs will be read by people with a range of access needs. What does compliance require?,multiple-choice,Output produced in several formats so each reader can choose one.,,"Output written in plain language, which is easier for everyone.",,Output reviewed by someone who shares the access needs concerned.,,Output structured and formatted to the applicable accessibility standard.,,,,,,4,"Accessibility is a specification with standards behind it covering structure, alternative text, contrast and headings, and generated output does not satisfy it by default. Producing to the standard is what compliance consists of. Multiple formats, plain language and user review all improve the result without being the requirement.","D5 Governance, Safety & Risk Management"
Prompts sent to a provider will contain commercially sensitive material. What must be established?,multiple-choice,"What the provider does with inputs, contractually rather than by assumption.",,That the material is encrypted while it is in transit to the provider.,,That the provider's staff are covered by confidentiality obligations.,,That the material is removed from the prompt once processing completes.,,,,,,1,"Whether inputs are retained, used for improvement, or accessible to the provider's staff is a contractual question to settle before sending anything, and it varies by provider and by tier. Encryption addresses interception, prompts are not persistent objects to clean up, and staff obligations are one component of the terms.","D5 Governance, Safety & Risk Management"
Application logs are found to contain personal data from prompts. What is the immediate concern?,multiple-choice,The logs will grow larger than the operations team had provisioned for.,,The logs cannot be shared with third parties for support purposes.,,The data is now in a store with different access and retention rules.,,The logs may be retained beyond the period the source system permits.,,,,,,3,"Personal data replicated into logging inherits none of the source system's protections and everything about the logging system's: broader access, different retention, export to analysis tools. Redaction at the boundary is the fix. Retention and sharing restrictions are specific consequences of the same problem.","D5 Governance, Safety & Risk Management"
A safety control is implemented as an instruction in the system prompt. What is the objection?,multiple-choice,"It cannot be tested, since in fact its effect is not directly observable.",,It occupies context that could be used for the task itself.,,It cannot be versioned separately from the rest of the prompt.,,"It holds only while the model complies, which an injection can undo.",,,,,,4,"A control that depends on the model behaving is not a control, because the situations it exists for are precisely those where the model is being influenced. Enforcement has to sit outside the prompt: in authorization, in interception, in a check on the output. Context cost and versioning are lesser issues.","D5 Governance, Safety & Risk Management"
Anyone with access can change the prompt of a system making consequential decisions. What is the governance gap?,multiple-choice,The prompt may be changed by someone who simply does not understand it.,,The prompt may become longer as different people add to it.,,The prompt may diverge from the documentation describing it.,,Behaviour can change with no review and no record of who changed it.,,,,,,4,"A prompt determines the system's behaviour, so it needs the controls that apply to anything else that does: review before change, an attributable record, and a route back. Length creep, documentation drift and inexpert edits are all consequences of that absence.","D5 Governance, Safety & Risk Management"
An auditor asks for evidence that a control operated during a period. What must exist?,multiple-choice,A description of the control and how it was designed to work.,,The configuration showing the control was enabled throughout.,,Confirmation from the team that the control was in place.,,"Records produced by the control's operation, retained for the period.",,,,,,4,"An audit tests operation rather than design, so it needs artefacts generated as the control ran: the approvals given, the checks performed, the exceptions raised. Descriptions, attestations and configuration establish that a control existed without demonstrating that it worked.","D5 Governance, Safety & Risk Management"
A team requests an exception to a governance control for one use case. What must the process establish?,multiple-choice,"Whether the control is necessary at all, given that an exception is sought.",,Whether the team can implement a compensating control in its place.,,Whether other teams have previously been granted the same exception.,,"Who may grant it, on what basis, and when it comes back for review.",,,,,,4,"Exceptions are legitimate and become dangerous when they are permanent and untracked, so the process needs an authority, a stated rationale and an expiry. Compensating controls are often the right condition to attach. Precedent is weak evidence, and treating a request as grounds to reconsider the control inverts the burden.","D5 Governance, Safety & Risk Management"
A vendor has told the sponsor that a capability is straightforward and the architect's assessment differs. How should that be handled?,multiple-choice,"Defer to the vendor, who has more experience with the technology.",,Present the assessment as a difference of professional opinion.,,"Set out what makes it hard here, in terms specific to this organization.",,Ask the vendor to substantiate the claim before the discussion continues.,,,,,,3,"The vendor is describing a general case and the architect knows the constraints that apply here: the data, the integrations, the obligations. Making those concrete is what resolves the disagreement, because it is about this situation rather than about the technology. Framing it as opinion invites the sponsor to pick a side.",D6 Stakeholder Communication & Lifecycle Management
A target committed to a steering group will be missed. When should that be raised?,multiple-choice,Once a plan to recover the position has been prepared and costed.,,"As soon as it is known, with what is now expected and the options.",,"At the next scheduled report, with an explanation of what happened.",,Once the extent of the shortfall has been established precisely.,,,,,,2,"Bad news raised early is a decision the group can still influence; raised late it is an announcement. Waiting for precision or a recovery plan consumes exactly the time they would have used to respond. The options can be provisional, and the fact of the miss should not wait for them.",D6 Stakeholder Communication & Lifecycle Management
An assistant is being handed over to an operations team. What must the handover include beyond documentation?,multiple-choice,The contact details of the team that built the system.,,The evaluation results from before the system was released.,,The design decisions and the reasoning behind each of them.,,"The failure modes seen, with what was done about each.",,,,,,4,"An operations team needs the operational history: what has gone wrong, what it looked like, and what resolved it. That is what turns a two-hour incident into a ten-minute one. Design reasoning is valuable for changing the system, and contacts and pre-release evidence are supporting material.",D6 Stakeholder Communication & Lifecycle Management
A trade-off between accuracy and cost must be explained to a non-technical audience. What framing works?,multiple-choice,The industry norms for this kind of trade-off in comparable systems.,,"The recommendation, with the trade-off explained if they ask about it.",,"What each option means for the outcomes they care about, and what it costs.",,The technical reasons why accuracy and cost are related in this way.,,,,,,3,"A trade-off is theirs to make when they own the consequences, and they can make it if it is expressed in outcomes and money rather than in tokens and tiers. Mechanism explains why without helping them choose, and leading with a recommendation asks them to ratify rather than decide.",D6 Stakeholder Communication & Lifecycle Management
A stakeholder is reluctant to spend time on discovery. What is the effective response?,multiple-choice,Reduce the discovery to a shorter session that fits their availability.,,Escalate their non-participation to whoever sponsors the project.,,Proceed without them and validate the assumptions once the design exists.,,Show what a wrong assumption in their area would cost to correct later.,,,,,,4,"Reluctance usually reflects a belief that the conversation is not about them, and connecting it to a specific consequence they care about is what changes that. Escalation makes it adversarial, proceeding without them defers the discovery to the expensive moment, and a shorter session is a fallback rather than the argument.",D6 Stakeholder Communication & Lifecycle Management
A design review with stakeholders is being prepared. What determines whether it is useful?,multiple-choice,Whether enough time is allocated to cover the whole design.,,Whether the open decisions are put to the people who can take them.,,Whether the material is presented at a level they can follow.,,Whether the design is complete enough to be reviewed properly.,,,,,,2,"A review earns its cost by resolving what is genuinely open, which means identifying those decisions and bringing the people who own them. A walkthrough of settled material is a briefing. Completeness, accessibility and time all improve a review whose purpose is already right.",D6 Stakeholder Communication & Lifecycle Management
A pilot's results indicate the project should not proceed. How should that be presented?,multiple-choice,"As a result the pilot was designed to produce, with what it saved.",,"As a disappointing outcome, with proposals for a further attempt.",,"As an inconclusive result, pending additional investigation.",,"As a technical limitation, which may be resolved in future.",,,,,,1,"A pilot exists to answer a question cheaply, and an answer of no is a successful pilot that has saved the cost of building the wrong thing. Framing it that way is honest and protects the organization's willingness to pilot again. Softening it into inconclusive or temporary invites the same investment later.",D6 Stakeholder Communication & Lifecycle Management
Users have been told the assistant will be available on a date the team will miss. What should the communication prioritize?,multiple-choice,A commitment that the revised date will not be missed again.,,"An apology, followed by an account of the difficulties encountered.",,The new date and what users should do in the meantime.,,The reasons for the delay and what the team is doing about it.,,,,,,3,"Users need what affects their planning: when, and what to do until then. Reasons belong briefly and afterwards. Apologies and promises about future reliability address the relationship rather than the practical question the message exists to answer.",D6 Stakeholder Communication & Lifecycle Management
