Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
An effort estimate must be given for work with genuine technical uncertainty. What is the defensible form?,multiple-choice,"The estimate for the most likely case, revised as the work proceeds.",,"A range with the uncertainty named, and a point at which it will narrow.",,A refusal to estimate until the uncertainty has been resolved.,,A single figure with a contingency added to cover the uncertainty.,,,,,,2,"An honest estimate under uncertainty states the range, what drives it, and when it will be known — which gives planners something to work with and commits to reducing the uncertainty rather than absorbing it. A single number with padding conceals the shape, and refusing leaves a genuine planning need unmet.",D1 Solution Design & Architecture
A prompt is used across several teams and each has adapted it locally. What is the maintainable arrangement?,multiple-choice,"One version per team, with a periodic review comparing them for divergence.",,"One version per team, derived from a shared template right at the time of creation.",,One canonical version that teams are asked to adopt without modification.,,"One maintained version with parameters for the variation, rather than copies.",,,,,,4,"Copies diverge from the moment they are made, and a fix applied to one never reaches the others. Parameterizing the genuine variation keeps one asset under maintenance. Forbidding adaptation ignores that the variation is real, and template derivation is copying with extra steps.","D2 Claude Models, Prompting & Context Engineering"
A prompt change is proposed and the team wants to know whether it helps. What must exist first?,multiple-choice,A set of cases the current prompt is measured against.,,An agreement on who is permitted to approve the change.,,A record of the prompt's version history over time.,,A description of what the change is intended to improve.,,,,,,1,"Improvement is a comparison, and without a baseline measured on defined cases there is nothing to compare against. Intent, history and approval are all part of a healthy change process and none of them tells you whether the change was good.","D2 Claude Models, Prompting & Context Engineering"
Retrieval and long context are both able to supply the material a task needs. What favours retrieval?,multiple-choice,The material changes frequently and must be current at the time of asking.,,"The material is structured, which retrieval handles more effectively.",,"The material is sensitive, which retrieval keeps outside the prompt.",,The corpus is far larger than the window and only a small part applies.,,,,,,4,"Retrieval is selection under a budget: it earns its complexity when the body of material vastly exceeds what can be sent and the relevant portion is small. Freshness favours retrieval too and is achievable by other means. Retrieved material still enters the prompt, so it offers no confidentiality advantage.","D2 Claude Models, Prompting & Context Engineering"
A prompt's few-shot examples were chosen from the first cases the team encountered. What is the risk?,multiple-choice,They may have been chosen by someone no longer on the team.,,They may not span the decisions the prompt has to make.,,They may be outdated relative to the current requirements.,,"They may be longer than necessary, which consumes budget.",,,,,,2,"Examples work by covering the decision space, particularly its boundaries, and a convenience sample covers whatever happened to arrive first. Deliberately selecting the cases that are hard or ambiguous is what makes them earn their tokens. Length and provenance are lesser concerns.","D2 Claude Models, Prompting & Context Engineering"
A summarization step compresses a long conversation and behaviour degrades afterwards. Where should investigation start?,multiple-choice,"What the summarization dropped, compared with what the task depends on.",,"The frequency of summarization, which may be occurring too often.",,"The length of the summary, which may be too short for the conversation.",,"The model performing the summarization, which may be too small a tier.",,,,,,1,"Compaction is lossy by construction, so the question is always what was lost: a constraint, a decision, a specific value that became a vague phrase. Comparing the summary against what the task actually needs locates it. Length, tier and frequency are adjustments to make once the loss is understood.","D2 Claude Models, Prompting & Context Engineering"
A team wants the same prompt to work when the model version changes. What makes it more portable?,multiple-choice,Stating requirements explicitly rather than relying on a version's defaults.,,"Adding more examples, so behaviour is demonstrated rather than simply described.",,"Lowering the temperature, so output varies less across the versions.",,"Keeping the prompt short, so less of it depends on interpretation.",,,,,,1,"Portability comes from specifying what the output must satisfy instead of depending on tendencies that shift between versions: default length, how an edge case is handled, what is assumed. Examples help and are themselves interpreted differently. Length and temperature do not address version dependence.","D2 Claude Models, Prompting & Context Engineering"
An architect is asked whether a longer prompt is always better. What is the accurate answer?,multiple-choice,"Shorter prompts are better, since they leave less to be misread.",,Length matters only where it approaches the context window's limit.,,Length is not the variable; whether each part changes the output is.,,"Longer prompts are better, since more context improves the result.",,,,,,3,"Every element in a prompt should earn its place by changing what a good answer looks like, and material that does not dilutes what does. That is a question about contribution rather than about size. Blanket rules in either direction are what produce both bloated and under-specified prompts.","D2 Claude Models, Prompting & Context Engineering"
A prompt asset must be governed like other production configuration. What does that require at minimum?,multiple-choice,A schedule on which it is reviewed for continued accuracy.,,Restriction of who is permitted to make changes to it.,,"Versioning, review before change, and a way to roll back.",,Documentation of its purpose and the team that owns it.,,,,,,3,"A prompt determines behaviour, so it needs the same basic controls as anything else that does: a version history, a gate before change, and a route back. Ownership, review schedules and access restrictions are worthwhile practices layered on top of those foundations.","D2 Claude Models, Prompting & Context Engineering"
An integration between two services carries a request through several hops. What makes a failure diagnosable?,multiple-choice,"Synchronized clocks, so the records can be ordered chronologically.",,"Consistent log formats, so records from each service can be parsed.",,An identifier propagated through every hop and recorded at each.,,"A central log destination, so all the records are held together.",,,,,,3,"Without a value carried through the path, records from different services cannot be attributed to the same request, which is what a distributed investigation needs first. Formats, clocks and a shared destination all make the correlated records easier to work with once correlation exists.",D3 Integration
A downstream system publishes events the assistant consumes. What must be agreed beyond the transport?,multiple-choice,The rate at which events will be published to the consumer.,,The ordering guarantee the transport provides to consumers.,,The event schema and how it will change over time.,,The retention period for events that have not been consumed.,,,,,,3,"A consumer is coupled to the shape of what it receives, so the contract has to cover how that shape evolves: what may be added, what may not be removed, and how a consumer learns of a change. Rate, retention and ordering are important operational properties of a lower order than the contract itself.",D3 Integration
Events arriving out of order cause the assistant to act on stale state. What addresses it?,multiple-choice,"Version or sequence information on each event, checked before acting.",,A periodic reconciliation against the source system's current state.,,A transport that guarantees ordering across all of the events.,,A buffer that holds events briefly so they can be reordered.,,,,,,1,"Carrying a version and refusing to apply an older one makes the consumer safe regardless of what the transport does, which is why it is the durable answer. Buffering reduces the frequency, strict global ordering is expensive and often unavailable, and reconciliation repairs after the fact.",D3 Integration
Messages that cannot be processed accumulate and block a queue. What does the design need?,multiple-choice,"A route for repeatedly failing messages, so the rest continue.",,"A longer retention, so the failing messages are not lost.",,"More consumers, so the queue is drained more quickly.",,"A retry with backoff, and so failures are attempted less often.",,,,,,1,"Setting aside messages that have failed a bounded number of times keeps one bad input from halting a pipeline, while preserving it for diagnosis. Retention and consumer count do not address a message that will never succeed, and backoff slows the blockage without clearing it.",D3 Integration
A field is added to the payload the assistant receives from an upstream system. What determines whether that breaks it?,multiple-choice,Whether the consumer and producer are deployed at the same time.,,Whether the field is documented before the change is deployed.,,Whether the consumer ignores fields it does not recognize.,,Whether the consumer validates the payload before processing it.,,,,,,3,Tolerating unknown fields is what makes additive change safe and lets producer and consumer deploy independently. A validator that rejects anything unexpected turns every addition into a coordinated release. Documentation and deployment ordering are process mitigations for a design property.,D3 Integration
An index built from a document corpus goes stale when documents change. What must the design specify?,multiple-choice,How the index is partitioned across the available storage.,,How updates reach the index and how long staleness may last.,,How often the whole index is rebuilt from the source corpus.,,How the index is backed up so it can be restored if lost.,,,,,,2,"Freshness is a stated property, not a hope: the design says how a change propagates and what the worst-case lag is, so consumers know what they are getting. A full rebuild schedule is one implementation of that. Backup and partitioning are operational concerns that do not affect currency.",D3 Integration
Retrieved content is available to any user of the assistant regardless of their permissions. What is the flaw?,multiple-choice,Retrieved content should be logged so unauthorized access can be detected.,,Retrieved content should be filtered after generation rather than before.,,"Retrieval must apply the requesting user's entitlements, not the service's.",,Retrieved content should be limited to what the user has previously accessed.,,,,,,3,"An index that ignores entitlements turns the assistant into a route around every access control the source systems enforce. Filtering has to happen against the requesting user's permissions at retrieval time. Post-generation filtering is too late once the content has shaped the answer, and logging is detective rather than preventive.",D3 Integration
Two tenants' documents are held in one index. What must be guaranteed?,multiple-choice,Each tenant's queries are processed by a separate service instance.,,Each tenant's usage is metered separately for billing purposes.,,Each tenant's documents are stored in a separate physical location.,,A query for one tenant cannot return the other's content.,,,,,,4,"The requirement is that the isolation holds at query time, enforced rather than expected, since a filter applied by convention will eventually be omitted. Physical separation and dedicated instances are implementations that may or may not be warranted, and metering is a commercial concern.",D3 Integration
Documents arrive as scanned images and extraction quality varies. Where should the effort go first?,multiple-choice,"The prompt, so the model handles imperfect text more gracefully.",,"The retrieval configuration, so that the right chunks are surfaced more often.",,"The quality of the text extracted, since everything downstream depends on it.",,"The chunking strategy, so the extracted text is divided more sensibly.",,,,,,3,"A pipeline cannot recover information that was never extracted, so text quality bounds everything after it. Measuring extraction accuracy before tuning anything downstream is what avoids optimizing around a problem at its source. The other stages are worth attention once the input is sound.",D3 Integration
An external API the assistant depends on imposes a quota the design has not accounted for. What follows?,multiple-choice,"The quota is a capacity constraint on the whole design, not a runtime error.",,"The quota should be raised, since the design's requirements exceed it.",,The quota should be handled by retrying requests that are rejected.,,The quota should be handled by caching results to reduce the call volume.,,,,,,1,"A third-party limit bounds what the system can serve, which makes it an architectural input alongside latency and cost rather than something to discover in production. Caching and negotiating a higher limit are both legitimate responses that follow from treating it as a constraint. Retrying does not create capacity.",D3 Integration
An integration is being tested and the third-party system has no test environment. What is the sound approach?,multiple-choice,"A simulated implementation of the contract, with a bounded live test.",,"Testing against the live system, using data that can safely be created.",,Testing only the parts of the integration that do not require the system.,,Deferring the testing until a test environment becomes available.,,,,,,1,"Building to the contract lets the integration be tested thoroughly and repeatably, with a small live exercise to confirm the contract is what was documented. Testing purely against production is risky and slow, and skipping or deferring leaves the integration unexercised until it matters.",D3 Integration
Personal data must cross a boundary into a system that should not be able to read it. Which technique fits?,multiple-choice,"Redacting the values, so the receiving system receives nothing in their place.",,Replacing the values with tokens that only the originating side can resolve.,,"Encrypting the values, so the receiving system cannot read them in transit.",,"Hashing the values, so the receiving system holds only their digests.",,,,,,2,"Tokenization preserves referential usefulness while the meaning stays behind: the receiving system can join and process without ever holding the data. Encryption protects transit rather than the recipient's view, hashing destroys the ability to resolve back, and redaction removes the field entirely.",D3 Integration
A team wants to know whether a change improved quality and the evaluation set was expanded at the same time. What follows?,multiple-choice,The comparison holds if the added cases are similar to the existing ones.,,The comparison holds for the original cases and not the added ones.,,"The comparison establishes nothing, since two things changed at once.",,The comparison should be repeated with the added cases excluded.,,,,,,3,"Changing the measure and the thing being measured together makes the difference unattributable, which is the same discipline as changing one variable at a time. Rerunning on the original set is the correct repair and is a separate action from the invalid comparison already made.","D4 Evaluation, Testing & Optimization"
Two reviewers grade the same outputs and agree only sometimes. What does that indicate?,multiple-choice,One reviewer is applying the criteria more accurately than the other.,,"More reviewers are needed, so that a majority can resolve the disagreements.",,"The outputs are genuinely borderline, which explains the disagreement.",,"The criteria are underspecified, so the measurement is not yet reliable.",,,,,,4,"If two competent people applying the same rubric reach different conclusions, the rubric is not yet a measuring instrument and any number produced with it is unreliable. Tightening the definitions and testing agreement again is the work. Adding reviewers averages over the ambiguity without removing it.","D4 Evaluation, Testing & Optimization"
A quality difference of two percentage points is observed on a set of fifty cases. What should be concluded?,multiple-choice,That the set should be rerun to confirm the same result.,,That the change is not worth the cost of deploying it.,,That the change is a small improvement worth adopting.,,"Little, since a difference that size on that sample may be noise.",,,,,,4,"One case in fifty is two percentage points, so a difference of that size is well inside what sampling variation produces. Recognizing when a measurement cannot support a conclusion is as important as making it. Rerunning the identical set does not add information about the population.","D4 Evaluation, Testing & Optimization"
A team must decide whether to evaluate offline or in production. What does production evaluation add?,multiple-choice,"A larger sample, which makes any measured difference firmer.",,"The real input distribution, including the cases nobody curated for.",,Evidence that the system performs under production latency and load.,,Confirmation that the surrounding integration behaves correctly.,,,,,,2,"Curated sets are cleaner and narrower than live traffic, and the omitted cases are exactly where changes regress. Sampling production tests against what actually arrives. Sample size, load and integration correctness are secondary benefits of the same exercise.","D4 Evaluation, Testing & Optimization"
An error analysis lists individual failures without grouping them. What is lost?,multiple-choice,"The frequency of each failure, which indicates just how often it occurs.",,"The reproduction steps, which are needed to diagnose each failure.",,"The severity of each failure, which determines what to fix first.",,The pattern that would show which single fix addresses the most cases.,,,,,,4,Categorizing failures by cause converts a list into a work plan: one retrieval defect may account for a third of the errors while twenty singletons account for another third. Severity and frequency are attributes that become useful once the grouping exists.,"D4 Evaluation, Testing & Optimization"
A system's quality is measured monthly and inputs have shifted gradually over a year. What does that risk?,multiple-choice,A measurement that becomes noisier as the inputs become rather more varied.,,A measurement that requires more cases as the input volume grows.,,A measurement that looks stable while the system serves different work.,,A measurement that cannot be compared across the months of the year.,,,,,,3,"A fixed evaluation set measures performance on the traffic of the day it was built, so the number can hold steady while the system quietly degrades on what it now receives. Refreshing the set from current traffic is what keeps the measurement meaningful.","D4 Evaluation, Testing & Optimization"
A new version must be exercised under realistic load before release. What does load testing establish that quality evaluation does not?,multiple-choice,How the system's cost per request compares with the current version.,,How accurate the system is on the cases it is likely to receive.,,How the system behaves when its dependencies are saturated.,,How the system handles inputs that are unusual or malformed.,,,,,,3,"Behaviour under contention is a different property from correctness: queues form, timeouts fire, retries amplify, and the failure modes that appear are not visible on an unloaded system. Accuracy and edge-case handling are what quality evaluation covers, and cost is measurable without load.","D4 Evaluation, Testing & Optimization"
User feedback on outputs is collected and never used. What is the specific loss?,multiple-choice,A supply of real failure cases the evaluation set does not contain.,,A record demonstrating that the system is being actively used.,,A measure of user satisfaction with the system's performance.,,A signal about which features users would like to be added.,,,,,,1,"Users report the failures that matter to them, which is exactly the material a curated set lacks and exactly what should be converted into permanent test cases. Satisfaction, feature requests and usage evidence are all real value from feedback and none of them compounds the way a growing regression set does.","D4 Evaluation, Testing & Optimization"
An evaluation harness has itself become unreliable and produces occasional spurious failures. What is the consequence?,multiple-choice,"The measurements are slightly pessimistic, which is really a safe direction.",,The team spends time investigating failures that are not real.,,The harness needs to be rerun whenever a failure is observed.,,"The team stops trusting failures, which is worse than having no harness.",,,,,,4,"A flaky signal trains people to dismiss it, and the real failure arrives among the noise and is dismissed with the rest. Restoring reliability is more urgent than it appears, because the cost is the loss of the whole instrument rather than the wasted investigations.","D4 Evaluation, Testing & Optimization"
A cost optimization has been applied and the team reports the saving. What must accompany it?,multiple-choice,"The projected annual saving, so the benefit can be reported to sponsors.",,"The quality measurement after the change, on the same cases as before.",,"The latency measurement, since cost changes often affect speed.",,"The change record, showing exactly what was altered and when.",,,,,,2,"Cost is trivially reduced by producing worse output, so a saving without a quality figure is not a result. Pairing them is what makes the optimization defensible. Projections, change records and latency are all useful and none of them establishes the saving was free.","D4 Evaluation, Testing & Optimization"
Personal data will be processed by a new assistant in a way that carries meaningful risk to individuals. What is likely required before it is built?,multiple-choice,A commitment that the data will be deleted once processing is complete.,,A documented assessment of the impact on those individuals and the mitigations.,,Approval from the organization's security function well before development starts.,,Consent from each individual whose data will be processed by the system.,,,,,,2,"High-risk processing typically requires a formal impact assessment carried out before the processing begins, documenting the risk and what reduces it. Consent is one possible lawful basis rather than a universal requirement, and deletion and security approval are controls rather than the assessment itself.","D5 Governance, Safety & Risk Management"
A third-party model provider is being adopted. What does responsible vendor assessment cover beyond price and capability?,multiple-choice,"Where data is processed, what is retained, and what rights the organization has.",,The provider's support arrangements and the response times they commit to.,,The provider's market position and the likelihood of it remaining viable.,,The provider's published benchmark results against comparable models.,,,,,,1,"The assessment that governs whether the organization may use a provider concerns data: location of processing, retention and use of inputs, audit and deletion rights. Viability, benchmarks and support are commercial and operational considerations that do not establish permission.","D5 Governance, Safety & Risk Management"
A system's outputs will affect people differently across groups. What testing does that require?,multiple-choice,Review of a sample of outputs by someone from each affected group.,,Removal of the attributes that identify group membership from the inputs.,,Documentation of the training data used to produce the underlying model.,,"Measurement of outcomes by group, against a defined standard of fairness.",,,,,,4,"Fairness is established by measuring outcomes across groups against a criterion the organization has chosen and can defend, since different criteria conflict and the choice must be deliberate. Removing attributes does not remove correlated proxies, and sampling and documentation inform without measuring.","D5 Governance, Safety & Risk Management"
An individual asks for their data to be removed and it appears in an evaluation set and a memory store. What does that require?,multiple-choice,"Anonymization in those stores, which satisfies the request adequately.",,"Deletion from those stores too, which the design has to make possible.",,An explanation that those stores are excluded from the request's scope.,,"Deletion from the primary store, since the others are derived copies.",,,,,,2,"Derived stores hold the same personal data and are covered by the same obligation, which means the ability to locate and remove a subject's data across all of them has to be designed in. Discovering that an evaluation set cannot be edited is a design failure rather than a scope limitation.","D5 Governance, Safety & Risk Management"
An organization must be able to demonstrate to a regulator how a system behaves. What does that require of the provider relationship?,multiple-choice,Confirmation that the provider is itself subject to the same regulation.,,A commitment from the provider to respond to regulatory enquiries.,,Contractual rights to the information and access the demonstration needs.,,A technical description of the model architecture and its training.,,,,,,3,"An organization remains accountable for its own system and must be able to obtain what it needs to answer for it, which is a contractual matter agreed before deployment rather than a favour requested later. Architectural detail is rarely the thing a regulator asks for, and the provider's own status does not transfer accountability.","D5 Governance, Safety & Risk Management"
"A system is being tested for how it behaves under deliberate misuse. What is that activity called, and what does it require?",multiple-choice,"Regression testing, requiring the results to be added to the suite.",,"Acceptance testing, requiring sign-off from the business owner.",,"Penetration testing, requiring an external specialist to conduct it.",,"Adversarial testing, requiring authorization and a defined scope.",,,,,,4,"Deliberately probing a system for harmful behaviour needs explicit authorization and boundaries, because the activity itself generates content and actions the organization must be prepared for. Findings should feed the regression suite, which is a consequence rather than what the activity is.","D5 Governance, Safety & Risk Management"
Content generated by the assistant will be shown to members of the public. What control does that require?,multiple-choice,A disclosure that the content was produced with the assistance of a model.,,"A check on the output before it is published, proportionate to the audience.",,A limit on how much content may be published in a given period.,,A record of which request produced each piece of published content.,,,,,,2,"Publishing makes the organization responsible for what appears, and the control at that boundary is a check on the output itself. Disclosure, attribution and volume limits are all reasonable practices and none of them prevents unsuitable content from reaching the audience.","D5 Governance, Safety & Risk Management"
A design relies on a control that only detects a problem after it has occurred. What must accompany it?,multiple-choice,A review of whether the control is still necessary over time.,,"A preventive control, since detective controls are insufficient alone.",,A measurement of how often the control detects a problem.,,"A defined response, since detection without action changes nothing.",,,,,,4,"A detective control's value is entirely in what happens next: who is told, how quickly, and what they do. Without that it produces records nobody acts on. Detective controls are legitimate on their own where prevention is impractical, provided the response exists.","D5 Governance, Safety & Risk Management"
An architect is asked to sign off on a design where a residual risk remains. What is the appropriate action?,multiple-choice,Accept it with a mitigation recorded for implementation later.,,State the risk and route the acceptance to whoever owns the consequence.,,"Accept it, since in fact the architect is the person best placed to judge it.",,Decline the design until the residual risk has been eliminated.,,,,,,2,"Residual risk is normal and accepting it is a business decision belonging to whoever bears the consequence, not to the person who designed the system. The architect's job is to make it explicit and quantified. Demanding elimination is rarely achievable, and deferring a mitigation is acceptance without saying so.","D5 Governance, Safety & Risk Management"
A business case for an assistant is being prepared. What makes it credible to a finance function?,multiple-choice,"A total projected saving over three years, based on the pilot's results.",,A statement of the strategic importance of adopting the technology.,,"Costs and benefits stated per unit of work, with the assumptions visible.",,A comparison against what competitors are reported to be achieving.,,,,,,3,"A finance reviewer needs to test the arithmetic, which means unit economics and stated assumptions they can vary. A headline total with the workings hidden invites disbelief. Competitive and strategic framing may support the case and cannot substitute for the numbers.",D6 Stakeholder Communication & Lifecycle Management
Scope has grown steadily through a project without any decision to expand it. What should the architect do?,multiple-choice,Make the accumulated change visible as a decision to be taken.,,"Decline the additions, since the scope was agreed at the outset.",,Re-plan the project around the scope as it now stands.,,"Absorb the additions, since each of them is individually small.",,,,,,1,"Incremental additions each look reasonable and collectively change what was agreed, so the useful act is to surface the aggregate and let the sponsor decide whether to fund it, cut it, or defer it. Refusing and absorbing both take that decision unilaterally, and re-planning ratifies it without the conversation.",D6 Stakeholder Communication & Lifecycle Management
A stakeholder requests something the architect judges to be a mistake. What is the professional response?,multiple-choice,"State the objection with reasons, and proceed if the decision is reaffirmed.",,Implement a partial version that avoids the problematic aspect.,,"Decline it, since implementing a known mistake is not defensible.",,"Implement it as requested, since in fact the stakeholder owns the requirement.",,,,,,1,"The obligation is to make the concern explicit and specific so the decision is informed; the decision itself belongs to whoever owns the outcome. Silent compliance withholds expertise, refusal substitutes the architect's judgment for the owner's, and a quiet partial implementation does so without saying so.",D6 Stakeholder Communication & Lifecycle Management
A steering group receives a monthly report on an assistant in production. What should it lead with?,multiple-choice,The technical work completed during the period and what is planned next.,,The issues encountered during the period and how each was resolved.,,"What changed in the outcomes the group cares about, and what needs a decision.",,The volume of requests handled and the availability achieved within the period.,,,,,,3,"A steering group exists to make decisions, so a report should surface the ones awaiting them alongside movement in the measures they own. Volume, availability and completed work are operational reporting that belongs in the appendix rather than at the front.",D6 Stakeholder Communication & Lifecycle Management
A rollout will change how a team works and the team has not been involved. What is the likely outcome?,multiple-choice,Resistance rooted in the design missing what the work actually involves.,,"Higher support costs, since the team will raise more questions.",,"A slower rollout, since the team will need more training than planned.",,"Lower measured quality, since the team will then use the system incorrectly.",,,,,,1,"The people doing the work hold the exceptions and the undocumented judgment, so excluding them produces a design that does not fit and a team with no reason to make it work. Training, support and pace are symptoms of that rather than the underlying cause.",D6 Stakeholder Communication & Lifecycle Management
Adoption of a deployed assistant is being measured by login counts. What is the flaw?,multiple-choice,Login counts do not distinguish between different teams of users.,,Login counts do not indicate how satisfied the users are with it.,,Logging in is not using it for the work it was built to support.,,Login counts can be inflated by users who log in repeatedly.,,,,,,3,"Presence is not use and use is not value. A meaningful adoption measure tracks the work actually completed through the system relative to the work available to it. Segmentation, satisfaction and double-counting are refinements to a measure that is not measuring the right thing.",D6 Stakeholder Communication & Lifecycle Management
A pilot has produced a result the sponsor did not want to hear. How should it be communicated?,multiple-choice,"Alongside a plan to address the shortfall, so the news is actionable.",,"After further work, once the result has been confirmed more firmly.",,"With the positive findings first, so the result is received in context.",,"Directly, with what was measured and what the options now are.",,,,,,4,"A sponsor needs the finding and the decision space, promptly and without arrangement. Softening the order, bundling a remedy or delaying for more confidence all reduce the time they have to respond. A plan is welcome once the finding itself has landed clearly.",D6 Stakeholder Communication & Lifecycle Management
A system is being retired and its users must be told. What does that communication need to cover?,multiple-choice,"When it stops, what replaces it, and what happens to the work in flight.",,How much the system cost to operate over its lifetime in service.,,What was learned from the system that will inform future work.,,Why the decision was taken and who was involved in taking it.,,,,,,1,"Users need the operational facts that let them plan: the date, the alternative, and what becomes of anything currently in the system. Rationale is worth including briefly. Costs and lessons belong in an internal review rather than in a notice to users.",D6 Stakeholder Communication & Lifecycle Management
Legal and security functions are consulted only when a design is complete. What does that produce?,multiple-choice,A design the engineering team has in fact to explain in unnecessary detail.,,Objections that arrive when they are most expensive to accommodate.,,A slower approval process than if they had been consulted earlier.,,A design that is less likely to satisfy their requirements at all.,,,,,,2,"Constraints from legal and security are frequently structural — where data may be processed, what must be logged, what requires a human — and discovering them after the architecture is set means rework rather than adjustment. Involving them during discovery is what makes their input cheap.",D6 Stakeholder Communication & Lifecycle Management
