Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
What must a design specify about behaviour when the provider is degraded?,multiple-choice,"The degraded experience itself — a smaller tier, a cached answer, or an honest failure.",,"The expected frequency of degradation, based on the provider's published reliability.",,"The retry policy, so transient degradation resolves before a user is affected by it.",,"The alerting path, so the on-call engineer is notified as soon as it is detected.",,,,,,1,"Availability is a non-functional requirement, and a design with no specified degraded behaviour improvises one — usually a hang or an unexplained failure. Deciding in advance between a smaller tier, a cached answer and an explicit unavailable state is what makes it production-grade. Alerting and retries inform and delay rather than define the experience.",D1 Solution Design & Architecture
Which framing of model selection does the domain reject?,multiple-choice,Escalating a tier on measured evidence of a quality shortfall.,,"Optimizing any single factor in isolation, including capability.",,Selecting per step rather than fixing a single tier for the whole system.,,Routing a cheap triage step ahead of a more capable handler.,,,,,,2,"Selection weighs reasoning, speed, context capacity and cost together against a workload's complexity, quality bar, latency target and budget, so any option optimizing one factor alone is wrong — including the flattering version. Per-step selection, evidence-based escalation and tiered routing are all the practices the domain endorses.","D2 Claude Models, Prompting & Context Engineering"
"A persona is prepended to every user message by the client. What changes when it moves to the system prompt, and what does not?",multiple-choice,Consistency improves; the instruction remains advisory rather than enforced.,,Nothing changes materially; the two placements are functionally equivalent.,,Consistency improves; the instruction becomes binding on the model's behaviour.,,Cost improves; the instruction is applied identically in either arrangement.,,,,,,1,"Persistent, request-independent behaviour belongs in the system prompt, and repeating it per message is fragile and unmaintainable across a team. The half that matters equally is that a system prompt is still advisory — anything that must hold even under injection belongs in an enforced layer.","D2 Claude Models, Prompting & Context Engineering"
"A long-running assistant contradicts decisions it made earlier in the same session. What is the diagnosis, and what is the wrong reflex?",multiple-choice,The prompt is under-specified; adding more instruction is the expensive reflex.,,The temperature is too high; lowering it is the reflex that masks the cause.,,The source material is inconsistent; replacing it is the reflex that overshoots.,,Context growth is the cause; upgrading the model tier is the expensive reflex.,,,,,,4,"Degradation over the course of a run — contradicting itself, repeating work, losing the thread — is the signature of context exhaustion. Upgrading the model is expensive and leaves the cause untouched, so the same behaviour reappears a few turns later. The fix is a context strategy: editing, compaction, or externalizing decisions into durable state.","D2 Claude Models, Prompting & Context Engineering"
Which mechanism is the only one that survives the end of a session?,multiple-choice,"Compaction, which condenses the session so its substance is retained.",,"Context editing, which prunes results to leave room for what follows.",,"A larger context window, which holds more of the session's history.",,A durable external store written to and read back across sessions.,,,,,,4,"Memory or an equivalent external store is the only cross-session mechanism; everything else operates within a session and vanishes with it. The design decision that follows is what to persist and for how long, which is where privacy review belongs — a point the domain tests alongside the mechanism itself.","D2 Claude Models, Prompting & Context Engineering"
What does treating context as a budget rather than a container imply for a design?,multiple-choice,Every token spent on history is unavailable for the current problem.,,Context should be cleared between requests to keep the budget free.,,The window size should be maximized before any other optimization.,,The budget ought to be allocated equally across the system's features.,,,,,,1,"Framing context as a budget makes the trade-off explicit: history, tool schemas, retrieved material and the current request all compete, and in a stateless API the whole of it is re-sent and re-paid on every call. That makes context growth simultaneously a quality, latency and cost problem — the same decision seen from three angles.","D2 Claude Models, Prompting & Context Engineering"
Which three artifacts should be versioned and changed together?,multiple-choice,"The prompt, the tool definitions and the access policy.",,"The prompt, the output schema and the evaluation set.",,"The prompt, the model version and the retrieval corpus.",,"The schema, the retrieval corpus and the alerting rules.",,,,,,2,"Changing one of prompt, schema or evaluation set usually requires changing all three, and shipping them apart is how a contract drifts out of sync with its consumers and its own tests. Versioning them together with a re-run before rollout is the practice; model versions and corpora are separate change events with their own gates.","D2 Claude Models, Prompting & Context Engineering"
Why is a shared prompt maintained centrally rather than copied per team?,multiple-choice,"Review is simplified, since only one team is responsible for approving it.",,"The prompt is shorter, since a central version omits team-specific detail.",,"Behaviour stays consistent, and one improvement reaches every consumer.",,"Caching improves, since a single prompt produces a single cached prefix.",,,,,,3,"Centralizing shared prompts keeps behaviour consistent across teams and means a single fix propagates rather than being reapplied four times. Copies drift the moment one is edited. Caching is a real secondary benefit, and ownership is a governance question rather than the reason for centralizing.","D2 Claude Models, Prompting & Context Engineering"
Which layer holds retrieved material and few-shot examples?,multiple-choice,"Templates and assembled context, which sit between the system prompt and the turn.",,"The tool definitions, which describe the capabilities available for the request.",,"The user message, which carries the request together with whatever it depends on.",,"The system prompt, which carries everything applied consistently right across requests.",,,,,,1,"Reusable structures, retrieved material and few-shot examples belong to the assembled context layer, distinct from the durable behaviour in the system prompt and the specific request in the user turn. Keeping them separate is what lets the stable portion stay cacheable while the volatile portion varies.","D2 Claude Models, Prompting & Context Engineering"
Which integration mode fits two million stored records enriched overnight?,multiple-choice,"Event-driven, so each record is enriched as it is written to the store.",,"Synchronous with high concurrency, so that the job completes as early as possible.",,"An asynchronous queue, so progress is observable while the work proceeds.",,"Batch, with results correlated by the identifier submitted with each request.",,,,,,4,"High volume with nobody waiting on any individual result is the batch profile, at substantially lower cost per token and with results keyed by identifier rather than order. Event-driven suits ongoing change capture rather than a one-time backfill, and synchronous calls put a bulk job on the latency-critical path.",D3 Integration
A retrieval layer uses a service identity against a shared index for users with different entitlements. What must change?,multiple-choice,"Filter at retrieval by the requesting user's identity, before anything enters context.",,"Add citations, so a user can see which documents an answer was actually drawn from.",,"Raise the retrieval count, so permitted documents are not crowded out by restricted ones.",,Instruct the model not to reveal content the requesting user is not entitled to see.,,,,,,1,"Authorization belongs at retrieval and is enforced by identity: once restricted content is in context the model will faithfully use it and the assistant has become an exfiltration path. An instruction answers an access-control problem with advisory text, citations would name documents the user was never entitled to see, and more results enlarge the exposure.",D3 Integration
Which RAG stage produces answers that are individually true and jointly misleading?,multiple-choice,"Ingestion, when the index is rebuilt less often than the source is revised.",,"Generation, when grounding instructions do not require qualifications to carry.",,"Chunking, when a boundary separates a rule from the exception qualifying it.",,"Retrieval, when ranking favours passages that match the query superficially.",,,,,,3,"Chunk boundaries determine what can be retrieved together, and a cut that separates a rule from its exception yields fragments each of which is accurate while the pair misleads. Ingestion produces stale answers, retrieval produces missing passages, and generation produces ungrounded claims — three distinct symptoms.",D3 Integration
What does a design without an explicit not-found path guarantee?,multiple-choice,"A retrieval miss becomes a fabrication, since something has to be produced.",,A retrieval miss becomes a repeated query against the same index.,,"A retrieval miss becomes an error, which the calling application has to handle.",,A retrieval miss becomes an empty response the user cannot interpret.,,,,,,1,"Without an explicit refusal-or-escalate branch the model is obliged to produce something, and what it produces looks exactly like a grounded answer. Giving the system a way to say the corpus does not cover this is a design requirement rather than a nicety, and it is the difference between failing visibly and failing silently.",D3 Integration
An agent performs refunds through a broad execution tool and compliance wants a per-refund record. What changes?,multiple-choice,Parse the executed command strings and extract the refund arguments from them.,,"Log every command the tool runs, so refunds are captured within the record.",,Require the agent to state its intent before each command it goes on to run.,,Promote refunds to a typed tool whose arguments an audit trail can rely on.,,,,,,4,"A broad execution tool hands the harness one opaque string for every action, which is why it cannot be governed per action. Promotion gives typed arguments an audit trail can depend on. Parsing strings is fragile against quoting, and a model-stated intention is not evidence of what actually executed.",D3 Integration
What is the primary architectural objection to one credential with full account access used for every request?,multiple-choice,"It prevents per-user analytics, since all activity shares a single identity.",,It violates least privilege and maximizes blast radius on any compromise.,,"It complicates development, since engineers need production access to test.",,"It makes credential rotation harder, since every path depends on one secret.",,,,,,2,"One broad credential used everywhere means any compromise, bug or successful injection reaches the full scope of that credential. Authorization should be scoped to what each request and role actually needs. Rotation and analytics are genuine secondary costs, and development friction is an operational annoyance rather than the property violated.",D3 Integration
Support staff need only read and draft. Their agent can also refund and delete. A proposal adds logging. What does an architect prescribe?,multiple-choice,Keep them and require a confirmation prompt well before either is invoked.,,Keep them and restrict their use to a narrower window of hours.,,Remove the two unneeded capabilities rather than observing their use.,,Keep them and alert a manager whenever either capability is used.,,,,,,3,"Least privilege means removing capabilities the role does not require, eliminating attack surface rather than watching it. Logging and alerting are detective controls that report afterwards, and a confirmation prompt is a compensating control that fatigue and a convincing instruction both defeat. All three leave a capability nobody in this role needs.",D3 Integration
An architect is asked what should be decided before any data-flow design begins. What comes first?,multiple-choice,Classifying which data classes exist and which may enter a prompt at all.,,"Choosing the integration mode, since it determines how data moves.",,"Defining the retention period, since it governs how long data is held.",,"Selecting the model tier, since it determines where the data will be sent.",,,,,,1,"Classification comes first: what classes are in play — personal, health, financial, confidential — and which may enter a prompt at all. Minimization, redaction, residency and retention are all decisions taken against that classification, and taking them first means designing without knowing what the constraints are.",D3 Integration
A refund times out with an unknown outcome. What must hold before a retry is safe?,multiple-choice,"A prohibition on retrying, since the outcome cannot be established.",,A status check by the model before it decides whether to retry.,,"Idempotency, so repeating the call cannot issue a second refund.",,"Logging, so a reconciliation job can detect any duplicate payment.",,,,,,3,"The failure mode is a successful server-side operation whose response was lost, so retrying is correct and duplicating a refund is not — idempotency keys resolve exactly this. Reconciliation detects the duplicate after money has moved, and asking the model to adjudicate a financial transaction is neither reliable nor its responsibility.",D3 Integration
Which condition calls for an asynchronous queued integration rather than a synchronous one?,multiple-choice,"Work is submitted and collected later, needing durable queuing and a status surface.",,"Work is expensive per item, so the cost per request needs to be minimized.",,Work depends on an external system whose availability cannot be guaranteed.,,"Work arrives in bursts, so capacity has to absorb a peak well above the average.",,,,,,1,"Submission now and collection later is the asynchronous profile, and its design implications are a durable queue, a status surface, idempotent processing and a retry policy. Burstiness is a throughput property handled within any mode, and cost and dependency availability are separate concerns.",D3 Integration
Which hop in a data-flow map is most often overlooked?,multiple-choice,"The user interface, the last hop before a person actually reads the response.",,"Application logs, a retained copy of whatever was sent and rarely classified.",,"The retrieval index, a derived copy of documents already inside the boundary.",,"The provider call, the only hop leaving the organization's own infrastructure.",,,,,,2,"Retention and residency have to be known for every hop, and logs are the copy teams overlook because infrastructure writes them rather than the feature. A log line holding a full customer record is a retained copy of personal data with its own obligations, usually outside whatever classification the design applied to the request.",D3 Integration
What does the verification stage of a retrieval pipeline exist to catch?,multiple-choice,Source documents that have not been re-indexed since they were last revised.,,Content the requesting user was not entitled to see being included in context.,,"Fabrication where the corpus lacks an answer, plus citations that do not resolve.",,Passages retrieved with low relevance to the question that was actually asked.,,,,,,3,"Verification covers citation checks, coverage and not-found handling — it is the stage that catches an answer invented because the corpus did not contain one. Relevance is a retrieval concern, entitlement filtering belongs to retrieval as well, and freshness is an ingestion decision.",D3 Integration
"Which grading method is objective, cheap and consistently underused?",multiple-choice,Exact matching against reference answers written by a domain expert.,,A model judge with a rubric applied consistently right across the whole set.,,Programmatic checks such as whether code compiles or totals reconcile.,,Human review of a sample large enough to be statistically meaningful.,,,,,,3,"Programmatic checks — does it compile, do the tests pass, do the citations resolve, do the totals reconcile — are objective, fast and badly underused. Exact matching is also cheap and applies to classification and extraction rather than to computable properties. A judge and human review both cost considerably more.","D4 Evaluation, Testing & Optimization"
"Which part of an evaluation set reveals whether a system asks, escalates, or guesses?",multiple-choice,"Ambiguous cases, where no single answer is correct.",,"Edge cases, at the boundaries of the expected input range.",,"Adversarial cases, where the system is deliberately probed.",,"Negative cases, where the corpus does not contain an answer.",,,,,,1,"Ambiguous cases are often the highest-value signal in a whole set, because guessing is invisible in aggregate accuracy and only surfaces where no answer is clearly right. Negative cases test refusal when an answer does not exist, which is related and distinct, and adversarial cases probe resistance rather than judgment.","D4 Evaluation, Testing & Optimization"
Which category of evaluation case turns every production incident into permanent protection?,multiple-choice,"Negative cases, where the correct response is a refusal or a not-found.",,"Edge cases, which exercise the boundaries of the expected input range.",,"Adversarial cases, which probe the system deliberately for weaknesses.",,"Known past failures, retained so the same regression cannot ship twice.",,,,,,4,"Every incident becomes a permanent regression test, which is what stops the same failure recurring after it has been fixed once. Adversarial, negative and edge cases all belong in a representative set and each probes a different thing — deliberate attack, absence of an answer, and boundary behaviour respectively.","D4 Evaluation, Testing & Optimization"
A cheaper model cuts per-call cost by forty percent while attempts per resolution rise from 1.1 to 2.3. What is the correct unit of analysis?,multiple-choice,"Cost per user, since that is what the business ultimately budgets.",,"Cost per call, since that is what appears on the provider invoice.",,"Cost per resolved task, including retries and any escalation.",,"Cost per token, since that isolates the pricing difference cleanly.",,,,,,3,"Per-call cost is the wrong unit once attempts change: roughly twice the attempts at six-tenths the price is a net increase, before counting the added latency and any human escalation. Measuring at the unit the business cares about is the professional move and the unit stakeholders will ask about.","D4 Evaluation, Testing & Optimization"
"A model change is planned to reduce cost, and the feature has a mature evaluation set. What does the rollout require?",multiple-choice,"A switch for new customers only, limiting exposure while the change proves itself.",,A switch with close monitoring of customer complaints over the following weeks.,,"A full re-run across every metric dimension, staged, with rollback criteria agreed first.",,"A direct switch, since the whole evaluation set was validated and the task has not changed.",,,,,,3,"A model change is a behaviour change: quality, latency and cost can all move, sometimes in opposite directions. Treating a prior validation as transferable is exactly backwards. Discovering regressions through customers is the most expensive detector available, and limiting to new customers ships an unevaluated change while producing two behaviours with no comparison.","D4 Evaluation, Testing & Optimization"
"Which grading method is preferred wherever the task admits it, and why?",multiple-choice,"Human review, which is the ground truth for consequential output.",,"Programmatic checks, which apply to code and structured formats.",,"Exact or structural matching, which is cheapest and most reliable.",,"A model judge with a rubric, which handles the widest task range.",,,,,,3,"Use the cheapest method the task allows, and exact or structural matching is both cheapest and most reliable where a determinate answer exists. Programmatic checks come next and are badly underused. A model judge is for open-ended quality with a rubric and a separate context, and human review is reserved for calibrating the cheaper methods.","D4 Evaluation, Testing & Optimization"
What does a model judge require to be trustworthy?,multiple-choice,A larger model than the one that generated the output being assessed.,,"A rubric, a separate context, and periodic calibration against humans.",,"A numeric scale, so the scores can be aggregated and tracked over time.",,"Repeated runs per item, so a consistent verdict can be established.",,,,,,2,"A judge sharing the generator's context already believes the reasoning that produced the output and rarely finds fault, so separation is what makes the method work at all — alongside an explicit rubric and periodic checking against human ratings. Model size, scale design and repetition all leave the dependence in place.","D4 Evaluation, Testing & Optimization"
Where does a canary rollout with defined rollback criteria belong in the lifecycle?,multiple-choice,"At development, alongside running the evaluation on every change.",,"At pre-release, together with the adversarial and regression passes.",,"In production, as part of continuous sampling and human spot-checks.",,"At release, after the pre-release gates and before full production.",,,,,,4,"Each stage has its own gate: development runs the eval on every change, pre-release covers regression against known failures plus adversarial and cost profiling, release is canary or staged rollout with rollback criteria defined beforehand, and production is continuous sampling with alarms. Placing the canary earlier confuses testing with rollout.","D4 Evaluation, Testing & Optimization"
"What must follow every cost optimization, and why?",multiple-choice,"A recalculation of the saving, since projections rarely match outcomes.",,"A review of the alarms, since thresholds are calibrated to the old spend.",,"A stakeholder update, since cost changes affect the agreed unit economics.",,"A re-run of the evaluation, since each lever can move quality as well.",,,,,,4,"Right-sizing the tier, batching, caching, trimming context and tuning effort can all move quality, so each is followed by re-running the evaluation set. Treating any lever as behaviourally neutral is how a silent regression ships alongside a saving. Recalculation, reporting and alarm review are all sensible and none verifies the output is still good.","D4 Evaluation, Testing & Optimization"
What does a development-stage evaluation gate apply to?,multiple-choice,"Every quarter, so the evaluation set is exercised on a regular cadence.",,"Every incident, so the resulting fix is validated before it is deployed.",,"Every prompt, schema, tool or model change, since one run proves nothing.",,"Every release candidate, once the changes for that release are complete.",,,,,,3,"At development the eval set runs on every prompt, schema, tool or model change, because non-determinism means a single passing run establishes nothing. Release-candidate testing is the pre-release gate, incident-driven runs are a subset of change-driven ones, and a calendar cadence detects drift rather than gating changes.","D4 Evaluation, Testing & Optimization"
A risk register records a limitation as eliminated by a configuration setting. What is wrong with that entry?,multiple-choice,The register should record likelihood and impact rather than mitigations.,,Documented limitations are designed around rather than configured away.,,"The entry lacks an owner, so nobody is accountable for the mitigation.",,"The setting named will change, so the entry becomes outdated over time.",,,,,,2,"These are documented properties of the systems rather than defects a setting removes, and an entry claiming otherwise names the right risk and then makes a false claim about it. Production designs acknowledge the limitation and add a compensating control — grounding, verification, review where consequential.","D5 Governance, Safety & Risk Management"
Which control most directly addresses injection arriving through retrieved content?,multiple-choice,Restricting retrieval to sources on an approved vendor list only.,,Treating it as data and limiting what it can trigger without review.,,Scanning retrieved documents for known injection phrasings first.,,Using a rather more capable model that resists manipulation more reliably.,,,,,,2,"The answer pairs the preventive control — retrieved content is data, never instructions — with the containment control limiting what such content can trigger unreviewed. An approved list misplaces trust, since a legitimate source can be compromised or carry user-generated text, and phrase scanning is an unbounded blocklist against an attacker who can rephrase.","D5 Governance, Safety & Risk Management"
Which control still holds once an injection has succeeded?,multiple-choice,"Monitoring, since the resulting action is recorded and can be reviewed.",,"Delimiting, since the injected instruction sits inside a marked boundary.",,"Output filtering, since responses are inspected before they are delivered.",,"Least privilege, since the agent cannot perform what it never held.",,,,,,4,"Least privilege bounds the blast radius: a successful injection has nothing to hijack when the capability is absent. Delimiting is preventive and necessary without being sufficient, since it is text competing with text. Filtering catches some attempts in flight and monitoring reports after the fact — both detective.","D5 Governance, Safety & Risk Management"
A lending platform proposes automatic decisions on cases the system scores as unambiguous. What is the governance assessment?,multiple-choice,Acceptable if applicants are told an automated system took part in the decision.,,Acceptable if the confidence threshold is set conservatively before it goes live.,,Inappropriate — a regulated decision about a person needs an accountable human.,,"Acceptable for declines only, since a decline can be appealed by the applicant.",,,,,,3,"Credit is a regulated, consequential decision about a person carrying fair-lending and adverse-action obligations, and it needs an accountable human rather than a confidence threshold — which rests on the model's own assessment of ambiguity and fails exactly where it matters. Disclosure is a genuine obligation that does not change accountability.","D5 Governance, Safety & Risk Management"
What does meaningful human oversight require beyond a named reviewer?,multiple-choice,"A confidence score per item, so attention is directed where it is needed.",,"Competence, sufficient information, realistic time, and authority to reject.",,"A signature on each item, so that accountability for the decision is documented.",,Independence from whoever configured the system producing the output.,,,,,,2,"Oversight requires a named human who is competent to evaluate the output, has the information and time to do so, holds genuine authority to reject, and is accountable for the result. Missing any one makes it a formality. A signature records that review happened rather than that it was possible, and confidence is not an oversight mechanism.","D5 Governance, Safety & Risk Management"
An approval step approves ninety-nine percent of items at two hundred per reviewer per day. What is the remedy?,multiple-choice,"Accept the rate, since it really shows the system is producing high-quality output.",,"Retrain the reviewers, whose judgment has converged on approving items.",,"Raise the routing threshold, so fewer items reach a reviewer each day.",,"Reduce what needs gating through risk-based routing, rather than loosening it.",,,,,,4,"A near-total approval rate at high volume is the diagnostic signature of a gate that has stopped functioning. The remedy is reducing what needs gating — risk-based routing on properties of the action, batching related approvals, better summaries — rather than loosening the control or retraining people around a structural problem.","D5 Governance, Safety & Risk Management"
An evaluation dataset is to be built from production transcripts containing personal data. What must be established?,multiple-choice,"Nothing further, since the organization already holds this data.",,"Encryption at rest, addressing the sensitivity of what it contains.",,Approval from the engineering manager owning the feature involved.,,"Classification, minimization, retention, and that the use is permitted.",,,,,,4,"An eval set built from production traffic is a new copy of personal data with its own purpose, retention and rights obligations — the secondary use that bypasses review because it feels like engineering hygiene. Assuming collection permits any downstream use is the error, and an engineering manager is the wrong approver for a privacy decision.","D5 Governance, Safety & Risk Management"
A limitation is recorded as the model having no knowledge of recent events. What design response follows?,multiple-choice,"A rather more capable tier, which carries a more recent view of the world built into it.",,"Retrieval or tools for anything current, since a training cutoff is not configurable.",,A longer system prompt describing recent developments the model should know.,,"A disclaimer on outputs, so readers know the information may not be current.",,,,,,2,"A training cutoff is a documented property, and the response is retrieval or tools for anything current rather than a setting or a narration. Describing recent events in a prompt goes stale at the deployment cadence with nothing signalling it, and a disclaimer informs readers without making the answer correct.","D5 Governance, Safety & Risk Management"
What must be preserved when personal data is captured in a memory store or an evaluation set?,multiple-choice,"Access, correction and deletion rights, which follow the data into every copy.",,"Encryption at rest, which is really the control appropriate to a derived data store.",,"The original collection date, so retention periods can be applied correctly.",,"A reference to the source system, so the copy can be reconciled against it.",,,,,,1,"Rights of access, correction and deletion reach data wherever it has been copied, including memory stores and evaluation sets built from production traffic — the copies engineering creates and governance rarely sees. Encryption, dating and provenance are all sound practices that do not discharge the rights obligation.","D5 Governance, Safety & Risk Management"
A hard operational constraint surfaces after a design is well advanced. What does that illustrate?,multiple-choice,"A stakeholder failure, since the constraint could have been raised earlier.",,"A discovery failure, whose remedy is discovery before design rather than after.",,"A scope change, handled through the project's change-request process.",,"An architecture failure, whose remedy is designing for greater flexibility.",,,,,,2,"Structured discovery before design exists to surface hard operational constraints, expected outcomes and risks while they are still cheap to address. Finding one late is a process failure with a known remedy, and naming it as such is the architect's responsibility. Treating it as scope creep protects the schedule and damages the outcome.",D6 Stakeholder Communication & Lifecycle Management
Which discovery question most often changes an architecture rather than confirming it?,multiple-choice,What existing commitments this must not break.,,Which team will own the system after it launches.,,How many users the system will eventually serve.,,What the project's budget for the first year is.,,,,,,1,"Existing service commitments constrain the pattern itself — a latency obligation can rule out an agent loop outright — which is why they belong in discovery rather than review. User counts and budgets shape sizing decisions within a chosen pattern, and ownership is an operational question that follows the design.",D6 Stakeholder Communication & Lifecycle Management
What should an architect lead with when presenting to a security function?,multiple-choice,"Cost per resolved task, showing the feature is economically defensible.",,"The runbook and escalation path, showing it can be operated once live.",,Evaluation results demonstrating the system performs to its standard.,,"Data flows, the privilege model, injection posture and blast radius.",,,,,,4,"Each audience is met in the terms they own, and security owns exposure: where data goes, what the agent may do, how it behaves under injection, and how far damage would reach. Evaluation results belong to engineering, unit economics to finance, and the runbook to operations.",D6 Stakeholder Communication & Lifecycle Management
An architect is briefing the operations team before launch. What should the briefing lead with?,multiple-choice,"The runbook, the degraded modes, the alarms and the escalation path.",,The evaluation results establishing that the system meets its quality bar.,,The architecture and the integration points with each upstream system.,,The cost per resolved task and the volume assumptions behind the figure.,,,,,,1,"Operations owns day-two reality, so the briefing leads with what they will actually use: the runbook, what the system does when degraded, what will alarm and who is called. Evaluation results, architecture and unit economics are the right content for engineering, security and finance respectively.",D6 Stakeholder Communication & Lifecycle Management
What is a pilot actually for?,multiple-choice,Demonstrating to stakeholders that the approach works as intended.,,Training users on the workflow well before it is rolled out more widely.,,Exercising the system against the full range of production inputs.,,Establishing whether the value is real and what production will cost.,,,,,,4,"A pilot exists to discover whether the value is real and what production will actually cost — not to prove the demo works. A pilot with no measurement plan is a demo with users attached and produces enthusiasm rather than evidence. Define, before it starts, what result would cause you to stop.",D6 Stakeholder Communication & Lifecycle Management
